"X report:","Finance report"
"Generated on:","2020-08-20 00:00:00"
"Total rows:",10000

"From date","08/19/2020 00:00"
"To date","08/19/2020 23:59"
"Report format",CSV

"Numbers in the display are rounded to the nearest hundredth."

Multi-client,"Client Name","Acquirer bank","Movement Date","Movement type","Movement details","Payment Method","Is 3D","Card Type",Country,"Transaction Result","Transaction Id","On Us","Credit Card Last 4 Digit","Client Unique Id",Currency,Amount,"Discount Fee","Transaction Fee","Services Fee",Reserve,"VAT on Fees","Net Amount","Settlement currency","Settlement amount","Settlement reserve","Payout Id"
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T17:50:00.844Z,Declined,Void,Visa,No,Debit,Spain,Declined,9d020763-5360-4d49-b40a-fa9929d9d0f5,No,8373,b5bf5295-e9f2-4a35-95bb-8f81e7496c96,USD,12112,-302.8,0.00,0.00,0.00,0.00,11809.2,EUR,10150,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T08:43:25.432Z,Declined,Sale,Visa,Yes,Debit,Fiji,Declined,c4ef5d6c-9f27-434e-9530-1ab5a622f2d9,No,3112,68b39096-204b-4a50-9136-2f30fe7735ed,AUD,10298,-257.45,0.00,0.00,0.00,0.00,10040.55,EUR,6268.57,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T13:55:54.208Z,Declined,Sale,MasterCard,Yes,Debit,Bulgaria,Declined,bdf9b5fd-b839-4324-95b5-c94452d76709,No,7144,b09adfc5-d8fa-4098-930b-06a59034ae1c,USD,6812,-170.3,0.00,0.00,0.00,0.00,6641.7,EUR,5708.54,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T01:24:06.923Z,Declined,Void,MasterCard,No,Credit,Bangladesh,Declined,54e925da-ad38-42a1-be30-4ff148050f44,No,9316,119c5f39-af0c-4966-9b57-b07af5412c5d,CZK,15988,-399.7,0.00,0.00,0.00,0.00,15588.3,EUR,612.14,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T14:37:06.136Z,Declined,Void,Visa,No,Credit,Lesotho,Declined,6676c401-9f44-41ce-ac99-af3ca2e7c6e0,No,6174,0217b4c8-0db1-41e3-b2a7-4c2fd8f93ba1,ZAR,11566,-289.15,0.00,0.00,0.00,0.00,11276.85,EUR,563.69,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T00:26:17.237Z,Declined,Void,MasterCard,Yes,Credit,Spain,Declined,d57e4a33-2daf-4a28-ade1-88bce66fd646,No,4977,f75e7a8e-ab4e-4731-bd82-457d17773d48,ZAR,17512,-437.8,0.00,0.00,0.00,0.00,17074.2,EUR,853.48,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T14:55:49.293Z,Declined,Void,MasterCard,Yes,Debit,Costa Rica,Declined,b689ca80-8d1f-48aa-923a-270df6e14c3f,No,2702,830f092d-dc18-4f47-a21a-c0ceaef494b5,ISK,4450,-111.25,0.00,0.00,0.00,0.00,4338.75,EUR,27.47,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T11:38:30.686Z,Declined,Void,Visa,Yes,Credit,Congo,Declined,d403a28a-5549-4ff3-b9e5-083616a06180,No,7582,b336f818-dcf8-457b-ba24-c3a2f723ad0a,HKD,350,-8.75,0.00,0.00,0.00,0.00,341.25,EUR,37.84,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T03:07:21.122Z,Declined,Auth,MasterCard,No,Credit,Lao People's Democratic Republic,Declined,58bcf176-3901-4c9c-93ed-bcf9889de041,No,6749,acaa2ba7-dd30-485f-ac46-eea8b0fed52a,JPY,16166,-404.15,0.00,0.00,0.00,0.00,15761.85,EUR,128.57,0.00,
Fintech Limited,Fintech Limited,Acquirer 1,2020-08-19T11:02:46.242Z,Declined,Void,Visa,No,Credit,Lithuania,Declined,01b2632a-247c-4791-8eab-cb162c4f50f6,No,2455,75573bf0-9d4c-4c4a-ab6e-93eff80e07b8,RON,13232,-330.8,0.00,0.00,0.00,0.00,12901.2,EUR,2733.71,0.00,
